pubmedid,title,abstract,pub_year
38612914,Lentivirus-Mediated BCL-X,"Hematopoietic reconstitution after hematopoietic stem cell transplantation (HSCT) is influenced by the number of transplanted cells. However, under certain conditions donor cell counts are limited and impair clinical outcome. Hematopoietic stem and progenitor cell (HSPC) expansion prior to HSCT is a widely used method to achieve higher donor cell counts and minimize transplantation-related risks such as graft failure or delayed engraftment. Still, expansion in a non-physiological environment can trigger cell death mechanisms and hence counteract the desired effect. We have shown earlier that during HSCT a relevant amount of HSPCs were lost due to apoptosis and that cell death inhibition in donor HSPCs improved engraftment in xenotransplantation experiments. Here, we assessed the effect of combined ex vivo expansion and cell death inhibition on HSPC yield and their reconstitution potential in vivo. During expansion with cytokines and the small molecule inhibitor StemRegenin 1, concomitant lentiviral overexpression of antiapoptotic BCL-X",2024
38600316,Combination p53 activation and BCL-x,"Due to the rarity of TP53 mutations in acute lymphoblastic leukemia (ALL), p53 re-activation by antagonism of the p53-MDM2 interaction represents a potential therapeutic strategy for the majority of ALL. Here, we demonstrate the potent antileukemic activity of the MDM2 antagonist idasanutlin in high-risk and relapsed ex vivo coculture models of TP53 wildtype ALL (n = 40). Insufficient clinical responses to monotherapy MDM2 inhibitors in other cancers prompted us to explore optimal drugs for combination therapy. Utilizing high-throughput combination screening of 1971 FDA-approved and clinically advanced compounds, we identified BCL-x",2024
38548768,Development and crystal structures of a potent second-generation dual degrader of BCL-2 and BCL-xL.,"Overexpression of BCL-xL and BCL-2 play key roles in tumorigenesis and cancer drug resistance. Advances in PROTAC technology facilitated recent development of the first BCL-xL/BCL-2 dual degrader, 753b, a VHL-based degrader with improved potency and reduced toxicity compared to previous small molecule inhibitors. Here, we determine crystal structures of VHL/753b/BCL-xL and VHL/753b/BCL-2 ternary complexes. The two ternary complexes exhibit markedly different architectures that are accompanied by distinct networks of interactions at the VHL/753b-linker/target interfaces. The importance of these interfacial contacts is validated via functional analysis and informed subsequent rational and structure-guided design focused on the 753b linker and BCL-2/BCL-xL warhead. This results in the design of a degrader, WH244, with enhanced potency to degrade BCL-xL/BCL-2 in cells. Using biophysical assays followed by in cell activities, we are able to explain the enhanced target degradation of BCL-xL/BCL-2 in cells. Most PROTACs are empirically designed and lack structural studies, making it challenging to understand their modes of action and specificity. Our work presents a streamlined approach that combines rational design and structure-based insights backed with cell-based studies to develop effective PROTAC-based cancer therapeutics.",2024
38499818,In silico design of potential Mcl-1 peptide-based inhibitors.,"BIM (Bcl-2 interacting mediator of apoptosis)-derived peptides that specifically target over-expressed Mcl-1 (myeloid cell leukemia-1) protein and induce apoptosis are potentially anti-cancer agents. Since the helicity of BIM-derived peptides has a crucial role in their functionality, a range of strategies have been used to increase the helicity including the introduction of unnatural residues and stapling methods that have some drawbacks such as the accumulation in the liver. To avoid these drawbacks, this study aimed to design a more helical peptide by utilizing bioinformatics algorithms and molecular dynamics simulations without exploiting unnatural residues and stapling methods. MM-PBSA results showed that the mutations of A4fE and A2eE in analogue 5 demonstrate a preference towards binding with Mcl-1. As evidenced by Circular dichroism results, the helicity increases from 18 to 34%, these findings could enhance the potential of analogue 5 as an anti-cancer agent targeting Mcl-1. The applied strategies in this research could shed light on the in silico peptide design. Moreover, analogue 5 as a drug candidate can be evaluated in vitro and in vivo studies.",2024
38492518,Human parainfluenza virus type 2 V protein inhibits mitochondrial apoptosis pathway through two ways.,"Paramyxoviruses are reported to block apoptosis for their replication, but the mechanisms remain unclear. Furthermore, regulation of mitochondrial apoptosis by paramyxoviruses has been hardly reported. We investigated whether and how human parainfluenza virus type 2 (hPIV-2) counteracts apoptosis. Infection of recombinant hPIV-2 carrying mutated V protein showed higher caspase 3/7 activity and higher cytochrome c release from mitochondria than wild type hPIV-2 infection. This indicates that V protein controls mitochondrial apoptosis pathway. hPIV-2 V protein interacted with Bad, an apoptotic promoting protein, and this interaction inhibited the binding of Bad to Bcl-X",2024
38426376,"Characterization of BCL-X L , MCL-1, and BAX Protein Expression in Response to Neoadjuvant Chemotherapy in Breast Cancer.","The use of chemotherapy has improved the overall treatment of breast cancer, which is frequently administered in the form of neoadjuvant chemotherapy (NAC). Apoptosis is an established cell stress response to NAC in preclinical models; however, there is limited understanding of its role in clinical cancer, specifically, its contribution to favorable pathologic responses in breast cancer therapy. Here, we aimed to characterize the change in protein expression of 3 apoptosis-associated biomarkers, namely, BCL-X L , MCL-1, and BAX in breast cancer in response to NAC. For this, we utilized a set of 68 matched invasive breast cancer FFPE samples that were collected before (pre) and after (post) the exposure to NAC therapy that were characterized by incomplete pathologic response. Immunohistochemistry (IHC) analysis suggested that most of the samples show a decrease in the protein expression of all 3 markers following exposure to NAC as 90%, 69%, and 76% of the matched samples exhibited a decrease in expression for BCL-X L , MCL-1, and BAX, respectively. The median H-score of BCL-X L post-NAC was 150/300 compared with 225/300 pre-NAC ( P value <0.0001). The median H-score of MCL-1 declined from 200 pre-NAC to 160 post-NAC ( P value <0.0001). The median H-score of BAX protein expression decreased from 260 pre-NAC to 190 post-NAC ( P value <0.0001). There was no statistically significant association between the expression of these markers and stage, grade, and hormone receptor profiling (luminal status). Collectively, our data indicate that the expression of apoptosis regulatory proteins changes following exposure to NAC in breast cancer tissue, developing a partial pathologic response.",2024
38383492,Modification of BCLX pre-mRNA splicing has antitumor efficacy alone or in combination with radiotherapy in human glioblastoma cells.,"Dysregulation of anti-apoptotic and pro-apoptotic protein isoforms arising from aberrant splicing is a crucial hallmark of cancers and may contribute to therapeutic resistance. Thus, targeting RNA splicing to redirect isoform expression of apoptosis-related genes could lead to promising anti-cancer phenotypes. Glioblastoma (GBM) is the most common type of malignant brain tumor in adults. In this study, through RT-PCR and Western Blot analysis, we found that BCLX pre-mRNA is aberrantly spliced in GBM cells with a favored splicing of anti-apoptotic Bcl-xL. Modulation of BCLX pre-mRNA splicing using splice-switching oligonucleotides (SSOs) efficiently elevated the pro-apoptotic isoform Bcl-xS at the expense of the anti-apoptotic Bcl-xL. Induction of Bcl-xS by SSOs activated apoptosis and autophagy in GBM cells. In addition, we found that ionizing radiation could also modulate the alternative splicing of BCLX. In contrast to heavy (carbon) ion irradiation, low energy X-ray radiation-induced an increased ratio of Bcl-xL/Bcl-xS. Inhibiting Bcl-xL through splicing regulation can significantly enhance the radiation sensitivity of 2D and 3D GBM cells. These results suggested that manipulation of BCLX pre-mRNA alternative splicing by splice-switching oligonucleotides is a novel approach to inhibit glioblastoma tumorigenesis alone or in combination with radiotherapy.",2024
38377677,Structural Insights into the Interaction between the C-Terminal-Deleted BH3-like Motif Peptide of Hepatitis B Virus X Protein and Bcl-x,Hepatitis B virus X protein (HBx) plays a crucial role in the development of hepatocellular carcinoma (HCC) associated with hepatitis B virus (HBV) infection. The full-length HBx protein interacts with Bcl-x,2024
38316463,Genome-wide CRISPR screen reveals the synthetic lethality between BCL2L1 inhibition and radiotherapy.,"Radiation therapy (RT) is one of the most commonly used anticancer therapies. However, the landscape of cellular response to irradiation, especially to a single high-dose irradiation, remains largely unknown. In this study, we performed a whole-genome CRISPR loss-of-function screen and revealed temporal inherent and acquired responses to RT. Specifically, we found that loss of the IL1R1 pathway led to cellular resistance to RT. This is in part because of the involvement of radiation-induced IL1R1-dependent transcriptional regulation, which relies on the NF-κB pathway. Moreover, the mitochondrial anti-apoptotic pathway, particularly the BCL2L1 gene, is crucially important for cell survival after radiation. BCL2L1 inhibition combined with RT dramatically impeded tumor growth in several breast cancer cell lines and syngeneic models. Taken together, our results suggest that the combination of an apoptosis inhibitor such as a BCL2L1 inhibitor with RT may represent a promising anticancer strategy for solid cancers including breast cancer.",2024
38172496,BCL-XL regulates the timing of mitotic apoptosis independently of BCL2 and MCL1 compensation.,"Mitotic catastrophe induced by prolonged mitotic arrest is a major anticancer strategy. Although antiapoptotic BCL2-like proteins, including BCL-XL, are known to regulate apoptosis during mitotic arrest, adaptive changes in their expression can complicate loss-of-function studies. Our studies revealed compensatory alterations in the expression of BCL2 and MCL1 when BCL-XL is either downregulated or overexpressed. To circumvent their reciprocal regulation, we utilized a degron-mediated system to acutely silence BCL-XL just before mitosis. Our results show that in epithelial cell lines including HeLa and RPE1, BCL-XL and BCL2 acted collaboratively to suppress apoptosis during both unperturbed cell cycle and mitotic arrest. By tagging BCL-XL and BCL2 with a common epitope, we estimated that BCL-XL was less abundant than BCL2 in the cell. Nonetheless, BCL-XL played a more prominent antiapoptotic function than BCL2 during interphase and mitotic arrest. Loss of BCL-XL led to mitotic cell death primarily through a BAX-dependent process. Furthermore, silencing of BCL-XL led to the stabilization of MCL1, which played a significant role in buffering apoptosis during mitotic arrest. Nevertheless, even in a MCL1-deficient background, depletion of BCL-XL accelerated mitotic apoptosis. These findings underscore the pivotal involvement of BCL-XL in controlling timely apoptosis during mitotic arrest, despite adaptive changes in the expression of other BCL2-like proteins.",2024
